Feature ID,Wave,Domain,Capability,Feature,Part 15 Evidence,Truth Status,Source Status
QF-0809,3,Data Mesh and Provider Runtime,Provider Runtime,Global quota coordination,Local quota enforcement exists; distributed global coordination deferred; evidence: Part 15 schema/contract/runtime,partial local foundation,Planned
QF-0810,3,Data Mesh and Provider Runtime,Provider Runtime,TTL cache,"TTL cache; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Partial prototype
QF-0811,3,Data Mesh and Provider Runtime,Provider Runtime,Stale-while-revalidate,"Configured stale window; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0812,3,Data Mesh and Provider Runtime,Provider Runtime,Last-known-good fallback,"Last-known-good stale fallback; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Partial prototype
QF-0813,3,Data Mesh and Provider Runtime,Provider Runtime,Provider latency scoring,"Latency samples and provider score; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Partial prototype
QF-0814,3,Data Mesh and Provider Runtime,Provider Runtime,Provider quality scoring,"Quality score and quote validation result; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0815,3,Data Mesh and Provider Runtime,Provider Runtime,Provider cost tracking,"Cost-unit accounting; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0816,3,Data Mesh and Provider Runtime,Provider Runtime,Provider failover policy,"Automatic primary-secondary-validation selection and failover; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0817,3,Data Mesh and Provider Runtime,Provider Runtime,Provider maintenance windows,Maintenance field exists in registry; scheduling workflow deferred; evidence: Part 15 schema/contract/runtime,partial local foundation,Planned
QF-0818,3,Data Mesh and Provider Runtime,Provider Runtime,Provider contract tests,"Provider runtime and failover regression tests; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Partial prototype
QF-0819,3,Data Mesh and Provider Runtime,Provider Runtime,Provider sandbox fixtures,"Three deterministic fixture adapters and failure scenarios; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0820,3,Data Mesh and Provider Runtime,Provider Runtime,Provider deprecation workflow,Deprecation metadata exists; managed workflow deferred; evidence: Part 15 schema/contract/runtime,partial local foundation,Planned
QF-0821,3,Data Mesh and Provider Runtime,Data Quality,Schema validation,"Quote schema and required-field validation; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0822,3,Data Mesh and Provider Runtime,Data Quality,Range validation,"Numeric, non-negative and timestamp range validation; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0823,3,Data Mesh and Provider Runtime,Data Quality,Outlier detection,"Configurable large-move outlier detection; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0824,3,Data Mesh and Provider Runtime,Data Quality,Cross-provider reconciliation,"Cross-provider variance reconciliation helper; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0825,3,Data Mesh and Provider Runtime,Data Quality,Corporate-action adjustment validation,Corporate-action structure exists; adjustment validation deferred; evidence: Part 15 schema/contract/runtime,partial local foundation,Planned
QF-0826,3,Data Mesh and Provider Runtime,Data Quality,Timestamp validation,"Observed/received timestamp validation; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0827,3,Data Mesh and Provider Runtime,Data Quality,Sequence-gap detection,"Channel sequence-gap detection; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0828,3,Data Mesh and Provider Runtime,Data Quality,Duplicate-event detection,"Event-ID duplicate detection; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0829,3,Data Mesh and Provider Runtime,Data Quality,Missing-field classification,"Missing-field classification; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0830,3,Data Mesh and Provider Runtime,Data Quality,Confidence scoring,"Deterministic confidence scoring; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0831,3,Data Mesh and Provider Runtime,Data Quality,Data lineage,"Provider/source/freshness/entitlement lineage metadata; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0832,3,Data Mesh and Provider Runtime,Data Quality,Data-quality incidents,"Local data-quality incident records; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0833,3,Data Mesh and Provider Runtime,Data Quality,Quality SLA reporting,Quality metrics exist; formal SLA reporting deferred; evidence: Part 15 schema/contract/runtime,partial local foundation,Planned
QF-0834,3,Data Mesh and Provider Runtime,Data Quality,Manual override with audit,"High-assurance idempotent override with hash-chained audit; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0835,3,Instrument Master and Reference Data,Instrument Master,Canonical instrument IDs,"Immutable QI canonical IDs; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0836,3,Instrument Master and Reference Data,Instrument Master,Asset-class taxonomy,"Cross-asset taxonomy across crypto, equity, FX, fund, index and more; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0837,3,Instrument Master and Reference Data,Instrument Master,Venue master,"Persistent venue master; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0838,3,Instrument Master and Reference Data,Instrument Master,Trading-pair master,"Pair-base and pair-quote relationship model; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0839,3,Instrument Master and Reference Data,Instrument Master,Issuer and legal-entity master,"Issuer and legal-entity references; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0840,3,Instrument Master and Reference Data,Instrument Master,Corporate identifier mapping,"Ticker, CIK and governed identifier mappings; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0841,3,Instrument Master and Reference Data,Instrument Master,Contract-address registry,"Explicitly simulated contract-address registry entry; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0842,3,Instrument Master and Reference Data,Instrument Master,Share-class relationships,Share-class relationship type is governed; no complete issuer hierarchy fixture; evidence: Part 15 schema/contract/runtime,partial local foundation,Planned
QF-0843,3,Instrument Master and Reference Data,Instrument Master,Underlying and derivative relationships,"Underlying and derivative relationship types and governance endpoint; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0844,3,Instrument Master and Reference Data,Instrument Master,Wrapped-asset relationships,"Wrapped relationship type and governance endpoint; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0845,3,Instrument Master and Reference Data,Instrument Master,Tokenized-security relationships,"Tokenized QQQB-to-QQQ relationship fixture; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0846,3,Instrument Master and Reference Data,Instrument Master,Fund and constituent relationships,Fund/index tracking and constituent types exist; complete holdings master deferred; evidence: Part 15 schema/contract/runtime,partial local foundation,Planned
QF-0847,3,Instrument Master and Reference Data,Instrument Master,Delisted instrument handling,"Instrument status supports active/delisted lifecycle state; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0848,3,Instrument Master and Reference Data,Instrument Master,Symbol-change history,"Revisioned symbol history with governed local mutation; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0849,3,Instrument Master and Reference Data,Instrument Master,Mergers and acquisitions mapping,Not implemented in Part 15; retained as a production reference-data/runtime requirement,planned production contract,Planned
QF-0850,3,Instrument Master and Reference Data,Instrument Master,Corporate actions,Corporate-action collection exists but production workflow and feed are deferred; evidence: Part 15 schema/contract/runtime,partial local foundation,Planned
QF-0851,3,Instrument Master and Reference Data,Instrument Master,Exchange calendars,"Exchange calendar master; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0852,3,Instrument Master and Reference Data,Instrument Master,Market sessions,"Timezone-explicit market session definitions; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0853,3,Instrument Master and Reference Data,Instrument Master,Currency master,"Currency master; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0854,3,Instrument Master and Reference Data,Instrument Master,Unit and precision master,"Instrument and currency precision fields; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0855,3,Instrument Master and Reference Data,Instrument Master,Geography and jurisdiction taxonomy,"Jurisdiction and geography fields; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0856,3,Instrument Master and Reference Data,Instrument Master,Sector and industry taxonomy,"Sector and industry taxonomy fields; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
QF-0857,3,Instrument Master and Reference Data,Instrument Master,Index membership history,"Index membership history fixture; evidence: src/providers, src/data-quality, src/instruments and tests",implemented deterministic local foundation,Planned
