feature_id,domain,capability,current_status,gap_type,user_value,risk,dependency,effort,release_scope,target_wave,blocker,recommended_action,source_commit,last_verified
F-D03-synchronized-cursors,CHARTS AND TECHNICAL ANALYSIS,synchronized cursors,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-multi-timeframe,CHARTS AND TECHNICAL ANALYSIS,multi-timeframe,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-replay,CHARTS AND TECHNICAL ANALYSIS,replay,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_3,implementation and end-to-end evidence,implement in WAVE_3 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-indicators,CHARTS AND TECHNICAL ANALYSIS,indicators,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_1,implementation and end-to-end evidence,implement in WAVE_1 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-indicator-builder,CHARTS AND TECHNICAL ANALYSIS,indicator builder,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_1,implementation and end-to-end evidence,implement in WAVE_1 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-indicator-templates,CHARTS AND TECHNICAL ANALYSIS,indicator templates,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_1,implementation and end-to-end evidence,implement in WAVE_1 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-alerts-from-chart,CHARTS AND TECHNICAL ANALYSIS,alerts from chart,PROTOTYPE,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,M,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-evidence-source-metadata,CHARTS AND TECHNICAL ANALYSIS,evidence/source metadata.,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-multiple-watchlists,WATCHLISTS AND SCREENERS,multiple watchlists,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-folders,WATCHLISTS AND SCREENERS,folders,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-tags,WATCHLISTS AND SCREENERS,tags,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-notes,WATCHLISTS AND SCREENERS,notes,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-shared-watchlists,WATCHLISTS AND SCREENERS,shared watchlists,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-public-watchlists,WATCHLISTS AND SCREENERS,public watchlists,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-collaborative-watchlists,WATCHLISTS AND SCREENERS,collaborative watchlists,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-formula-screeners,WATCHLISTS AND SCREENERS,formula screeners,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-technical-screeners,WATCHLISTS AND SCREENERS,technical screeners,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-fundamental-screeners,WATCHLISTS AND SCREENERS,fundamental screeners,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-derivatives-screeners,WATCHLISTS AND SCREENERS,derivatives screeners,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-on-chain-screeners,WATCHLISTS AND SCREENERS,on-chain screeners,PROTOTYPE,implementation-evidence-gap,HIGH,HIGH,SECURITY,PROGRAM,PUBLIC_BETA_MUST,WAVE_7,implementation and end-to-end evidence,implement in WAVE_7 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-portfolio-screeners,WATCHLISTS AND SCREENERS,portfolio screeners,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-saved-filters,WATCHLISTS AND SCREENERS,saved filters,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-alerts,WATCHLISTS AND SCREENERS,alerts,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-exports,WATCHLISTS AND SCREENERS,exports,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D04-scheduled-reports,WATCHLISTS AND SCREENERS,scheduled reports.,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-manual-portfolios,PORTFOLIO AND WEALTH,manual portfolios,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-imported-portfolios,PORTFOLIO AND WEALTH,imported portfolios,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-broker-connected-portfolios,PORTFOLIO AND WEALTH,broker-connected portfolios,PLANNED,implementation-evidence-gap,MEDIUM,HIGH,SECURITY,L,POST_BETA,WAVE_4,implementation and end-to-end evidence,implement in WAVE_4 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-exchange-connected-portfolios,PORTFOLIO AND WEALTH,exchange-connected portfolios,PLANNED,implementation-evidence-gap,MEDIUM,HIGH,SECURITY,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-wallet-connected-portfolios,PORTFOLIO AND WEALTH,wallet-connected portfolios,PLANNED,implementation-evidence-gap,MEDIUM,HIGH,SECURITY,L,POST_BETA,WAVE_4,implementation and end-to-end evidence,implement in WAVE_4 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-holdings,PORTFOLIO AND WEALTH,holdings,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-positions,PORTFOLIO AND WEALTH,positions,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-transactions,PORTFOLIO AND WEALTH,transactions,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-cash,PORTFOLIO AND WEALTH,cash,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-multi-currency,PORTFOLIO AND WEALTH,multi-currency,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-cost-basis,PORTFOLIO AND WEALTH,cost basis,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-tax-lots,PORTFOLIO AND WEALTH,tax lots,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_1,implementation and end-to-end evidence,implement in WAVE_1 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-goals,PORTFOLIO AND WEALTH,goals,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-rebalancing,PORTFOLIO AND WEALTH,rebalancing,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-allocation,PORTFOLIO AND WEALTH,allocation,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-performance,PORTFOLIO AND WEALTH,performance,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-benchmark,PORTFOLIO AND WEALTH,benchmark,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-reporting,PORTFOLIO AND WEALTH,reporting,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-net-worth,PORTFOLIO AND WEALTH,net worth,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-liabilities,PORTFOLIO AND WEALTH,liabilities,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-retirement,PORTFOLIO AND WEALTH,retirement,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-fire,PORTFOLIO AND WEALTH,FIRE,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D05-indian-investment-products,PORTFOLIO AND WEALTH,Indian investment products.,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-return-decomposition,PERFORMANCE ATTRIBUTION AND RISK,return decomposition,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-factor-attribution,PERFORMANCE ATTRIBUTION AND RISK,factor attribution,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-sector-attribution,PERFORMANCE ATTRIBUTION AND RISK,sector attribution,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-geography,PERFORMANCE ATTRIBUTION AND RISK,geography,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-currency,PERFORMANCE ATTRIBUTION AND RISK,currency,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-venue,PERFORMANCE ATTRIBUTION AND RISK,venue,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-chain,PERFORMANCE ATTRIBUTION AND RISK,chain,PLANNED,implementation-evidence-gap,MEDIUM,HIGH,SECURITY,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-concentration,PERFORMANCE ATTRIBUTION AND RISK,concentration,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-beta,PERFORMANCE ATTRIBUTION AND RISK,beta,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-correlation,PERFORMANCE ATTRIBUTION AND RISK,correlation,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-drawdown,PERFORMANCE ATTRIBUTION AND RISK,drawdown,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-var,PERFORMANCE ATTRIBUTION AND RISK,VaR,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_1,implementation and end-to-end evidence,implement in WAVE_1 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-cvar,PERFORMANCE ATTRIBUTION AND RISK,CVaR,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_1,implementation and end-to-end evidence,implement in WAVE_1 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-stress-tests,PERFORMANCE ATTRIBUTION AND RISK,stress tests,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-scenarios,PERFORMANCE ATTRIBUTION AND RISK,scenarios,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-liquidity-risk,PERFORMANCE ATTRIBUTION AND RISK,liquidity risk,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-margin-risk,PERFORMANCE ATTRIBUTION AND RISK,margin risk,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-leverage-risk,PERFORMANCE ATTRIBUTION AND RISK,leverage risk,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-counterparty-risk,PERFORMANCE ATTRIBUTION AND RISK,counterparty risk,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-portfolio-digital-twin,PERFORMANCE ATTRIBUTION AND RISK,portfolio digital twin,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,PROGRAM,POST_BETA,WAVE_8,implementation and end-to-end evidence,implement in WAVE_8 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D06-rebalance-proposals,PERFORMANCE ATTRIBUTION AND RISK,rebalance proposals.,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D07-research-library,"RESEARCH, DOCUMENTS AND NEWS",research library,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D07-document-upload,"RESEARCH, DOCUMENTS AND NEWS",document upload,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D07-ocr-where-safe,"RESEARCH, DOCUMENTS AND NEWS",OCR where safe,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D07-filing-reader,"RESEARCH, DOCUMENTS AND NEWS",filing reader,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,PROVIDER,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D07-citation-anchors,"RESEARCH, DOCUMENTS AND NEWS",citation anchors,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D07-source-shelf,"RESEARCH, DOCUMENTS AND NEWS",source shelf,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D07-earnings-transcripts,"RESEARCH, DOCUMENTS AND NEWS",earnings transcripts,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D07-annual-reports,"RESEARCH, DOCUMENTS AND NEWS",annual reports,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D07-investor-presentations,"RESEARCH, DOCUMENTS AND NEWS",investor presentations,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D07-macro-releases,"RESEARCH, DOCUMENTS AND NEWS",macro releases,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D07-research-feeds,"RESEARCH, DOCUMENTS AND NEWS",research feeds,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
