feature_id,domain_id,domain,capability,aliases,status,frontend_status,backend_status,data_status,persistence_status,security_status,provider,route,api,database_entity,event_worker,tests,evidence,blocker,dependency,target_wave,owner,user_value,risk,effort,release_scope,public_beta_safe,last_verified,source_commit,notes
F-D04-alerts,D04,WATCHLISTS AND SCREENERS,alerts,"D07:RESEARCH, DOCUMENTS AND NEWS|D25:OBSERVABILITY, SRE AND OPERATIONS",PROTOTYPE,PROTOTYPE,PARTIAL,SIMULATED,PARTIAL,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,HIGH,MEDIUM,M,PUBLIC_BETA_MUST,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D04-exports,D04,WATCHLISTS AND SCREENERS,exports,"D07:RESEARCH, DOCUMENTS AND NEWS",PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D04-scheduled-reports,D04,WATCHLISTS AND SCREENERS,scheduled reports.,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-manual-portfolios,D05,PORTFOLIO AND WEALTH,manual portfolios,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-imported-portfolios,D05,PORTFOLIO AND WEALTH,imported portfolios,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-broker-connected-portfolios,D05,PORTFOLIO AND WEALTH,broker-connected portfolios,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,SECURITY,WAVE_4,unassigned,MEDIUM,HIGH,L,POST_BETA,conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-exchange-connected-portfolios,D05,PORTFOLIO AND WEALTH,exchange-connected portfolios,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,SECURITY,WAVE_2,unassigned,MEDIUM,HIGH,L,POST_BETA,conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-wallet-connected-portfolios,D05,PORTFOLIO AND WEALTH,wallet-connected portfolios,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,SECURITY,WAVE_4,unassigned,MEDIUM,HIGH,L,POST_BETA,conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-holdings,D05,PORTFOLIO AND WEALTH,holdings,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-positions,D05,PORTFOLIO AND WEALTH,positions,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-transactions,D05,PORTFOLIO AND WEALTH,transactions,D12:WALLET AND ON-CHAIN,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-cash,D05,PORTFOLIO AND WEALTH,cash,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-multi-currency,D05,PORTFOLIO AND WEALTH,multi-currency,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-cost-basis,D05,PORTFOLIO AND WEALTH,cost basis,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-tax-lots,D05,PORTFOLIO AND WEALTH,tax lots,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_1,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-goals,D05,PORTFOLIO AND WEALTH,goals,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-rebalancing,D05,PORTFOLIO AND WEALTH,rebalancing,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-allocation,D05,PORTFOLIO AND WEALTH,allocation,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-performance,D05,PORTFOLIO AND WEALTH,performance,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-benchmark,D05,PORTFOLIO AND WEALTH,benchmark,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-reporting,D05,PORTFOLIO AND WEALTH,reporting,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-net-worth,D05,PORTFOLIO AND WEALTH,net worth,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-liabilities,D05,PORTFOLIO AND WEALTH,liabilities,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-retirement,D05,PORTFOLIO AND WEALTH,retirement,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-fire,D05,PORTFOLIO AND WEALTH,FIRE,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D05-indian-investment-products,D05,PORTFOLIO AND WEALTH,Indian investment products.,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-return-decomposition,D06,PERFORMANCE ATTRIBUTION AND RISK,return decomposition,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-factor-attribution,D06,PERFORMANCE ATTRIBUTION AND RISK,factor attribution,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-sector-attribution,D06,PERFORMANCE ATTRIBUTION AND RISK,sector attribution,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-geography,D06,PERFORMANCE ATTRIBUTION AND RISK,geography,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-currency,D06,PERFORMANCE ATTRIBUTION AND RISK,currency,D14:IDENTITY AND USER,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-venue,D06,PERFORMANCE ATTRIBUTION AND RISK,venue,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-chain,D06,PERFORMANCE ATTRIBUTION AND RISK,chain,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,SECURITY,WAVE_2,unassigned,MEDIUM,HIGH,L,POST_BETA,conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-concentration,D06,PERFORMANCE ATTRIBUTION AND RISK,concentration,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-beta,D06,PERFORMANCE ATTRIBUTION AND RISK,beta,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-correlation,D06,PERFORMANCE ATTRIBUTION AND RISK,correlation,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-drawdown,D06,PERFORMANCE ATTRIBUTION AND RISK,drawdown,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-var,D06,PERFORMANCE ATTRIBUTION AND RISK,VaR,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_1,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-cvar,D06,PERFORMANCE ATTRIBUTION AND RISK,CVaR,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_1,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-stress-tests,D06,PERFORMANCE ATTRIBUTION AND RISK,stress tests,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-scenarios,D06,PERFORMANCE ATTRIBUTION AND RISK,scenarios,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-liquidity-risk,D06,PERFORMANCE ATTRIBUTION AND RISK,liquidity risk,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-margin-risk,D06,PERFORMANCE ATTRIBUTION AND RISK,margin risk,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D06-leverage-risk,D06,PERFORMANCE ATTRIBUTION AND RISK,leverage risk,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
