formula_id,name,domain,inputs,input_units,output,assumptions,precision,rounding,effective_dates,source_reference,edge_cases,test_vectors,client_status,server_status,version,target_wave,source_commit
F-IND-GREEKS,Greeks,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-GAMMA-EXPOSURE,gamma exposure,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-VANNA,vanna,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-CHARM,charm,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-OBSERVED-LIQUIDATIONS,observed liquidations,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-ESTIMATED-LIQUIDATION-LEVELS,estimated liquidation levels.,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-FIXED-RISK,fixed risk,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-KELLY,Kelly,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-RISK-REWARD,risk/reward,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-EXPECTANCY,expectancy,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-R-MULTIPLE,R-multiple,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-STOP,stop,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-TARGET,target,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-LEVERAGE,leverage,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-MARGIN,margin,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-LIQUIDATION,liquidation,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-FEES,fees,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-BROKERAGE,brokerage,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-SLIPPAGE,slippage,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-MARKET-IMPACT,market impact,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-BREAKEVEN,breakeven,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-PIP-TICK-VALUE,pip/tick value,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-FUTURES-CONTRACT-VALUE,futures contract value,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-OPTIONS-PAYOFF,options payoff,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-BLACK-SCHOLES,Black-Scholes,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-BLACK-76,Black-76,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-BOND-PRICE,bond price,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-YIELD,yield,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-DURATION,duration,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-CONVEXITY,convexity,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-FUTURES-BASIS,futures basis,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-CARRY,carry,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-ROLL-YIELD,roll yield,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-APY-APR,APY/APR,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-REBALANCING,rebalancing,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-CORRELATION,correlation,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-COVARIANCE,covariance,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-BETA,beta,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-ALPHA,alpha,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-VOLATILITY,volatility,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-SHARPE,Sharpe,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-SORTINO,Sortino,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-CALMAR,Calmar,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-INFORMATION-RATIO,information ratio,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-TRACKING-ERROR,tracking error,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-VAR,VaR,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-CVAR,CVaR,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-DRAWDOWN-RECOVERY,drawdown recovery,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-MONTE-CARLO,Monte Carlo,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CALC-DCA,DCA.,calculator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-SIP,SIP,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-STEP-UP-SIP,step-up SIP,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-LUMP-SUM,lump sum,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-SWP,SWP,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-ABSOLUTE-RETURN,absolute return,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-ANNUALIZED-RETURN,annualized return,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-EXPENSE-RATIO-IMPACT,expense-ratio impact,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-DIRECT-VERSUS-REGULAR,direct versus regular,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-GOAL-PLANNER,goal planner,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-RETIREMENT,retirement,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-INFLATION-ADJUSTED-GOALS,inflation-adjusted goals,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-FIRE,FIRE,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-EMERGENCY-FUND,emergency fund,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-ALLOCATION-PLANNER,allocation planner,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-MUTUAL-FUND-COMPARISON,mutual-fund comparison,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-PPF,PPF,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-EPF,EPF,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-VPF,VPF,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-NPS,NPS,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-FD,FD,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-RD,RD,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-SUKANYA,Sukanya,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-NSC,NSC,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-SCSS,SCSS,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-HOME-LOAN-EMI,home-loan EMI,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-PERSONAL-LOAN-EMI,personal-loan EMI,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-EDUCATION-LOAN-EMI,education-loan EMI,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-VEHICLE-LOAN-EMI,vehicle-loan EMI,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-REDUCING-VERSUS-FLAT-INTEREST,reducing versus flat interest,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-AMORTIZATION,amortization,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-PREPAYMENT,prepayment,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-TENURE-REDUCTION,tenure reduction,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-INCOME-TAX-BY-FINANCIAL-YEAR-AND-REGIME,income tax by financial year and regime,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-SURCHARGE,surcharge,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-CESS,cess,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-CAPITAL-GAINS,capital gains,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-GST,GST,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-STT,STT,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-CTT,CTT,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-EXCHANGE-CHARGES,exchange charges,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-SEBI-CHARGES,SEBI charges,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-STAMP-DUTY,stamp duty,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-DP-CHARGES,DP charges,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-PLEDGE,pledge,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-INDIA-DIVIDEND-YIELD,dividend yield,India finance,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
